FDRA,Station 1,Station 2,Station 3,Index,Fuel_Model,fd_chi2_ffp,fd_chi2_py,fd_chi2_diff,fd_pvalue_ffp,fd_pvalue_py,fd_pvalue_diff,fd_r2_ffp,fd_r2_py,fd_r2_diff,mfd_chi2_ffp,mfd_chi2_py,mfd_chi2_diff,mfd_pvalue_ffp,mfd_pvalue_py,mfd_pvalue_diff,mfd_r2_ffp,mfd_r2_py,mfd_r2_diff,lfd_chi2_ffp,lfd_chi2_py,lfd_chi2_diff,lfd_pvalue_ffp,lfd_pvalue_py,lfd_pvalue_diff,lfd_r2_ffp,lfd_r2_py,lfd_r2_diff,lfd_Days_ffp,lfd_Days_py,lfd_Days_diff,lfd_Total_ffp,lfd_Total_py,lfd_Total_diff
Baldy,350915,352207.0,,ERC,Y,18.98,30.0,11.02,0.015,0.0002,-0.014799999999999999,0.59,0.698,0.10799999999999998,7.23,30.0,22.77,0.5119,0.0002,-0.5117,0.39,0.653,0.263,12.63,30.0,17.369999999999997,0.0493,0.0002,-0.0491,0.3,0.593,0.293,11,11,0,150,2549,2399
Baldy,350915,352712.0,,ERC,Y,20.03,30.0,9.969999999999999,0.0102,0.0002,-0.01,0.59,0.591,0.0010000000000000009,5.51,30.0,24.490000000000002,0.702,0.0002,-0.7018,0.57,0.522,-0.04799999999999993,4.13,30.0,25.87,0.6598,0.0002,-0.6596000000000001,0.34,0.471,0.13099999999999995,11,11,0,150,2549,2399
Baldy,352107,352207.0,,ERC,Y,13.64,30.0,16.36,0.0917,0.0002,-0.0915,0.61,0.709,0.09899999999999998,12.22,30.0,17.78,0.1417,0.0002,-0.1415,0.2,0.445,0.245,9.65,30.0,20.35,0.2094,0.0002,-0.2092,0.29,0.659,0.36900000000000005,11,11,0,150,2549,2399
Baldy,352107,352712.0,,ERC,Y,13.75,30.0,16.25,0.0886,0.0002,-0.08839999999999999,0.62,0.816,0.19599999999999995,10.71,30.0,19.29,0.219,0.0002,-0.2188,0.33,0.52,0.19,6.36,30.0,23.64,0.4984,0.0002,-0.49820000000000003,0.23,0.537,0.30700000000000005,11,11,0,150,2549,2399
Baldy,352109,352207.0,,ERC,Y,9.91,30.0,20.09,0.2715,0.0002,-0.27130000000000004,0.69,0.73,0.040000000000000036,11.04,30.0,18.96,0.1993,0.0002,-0.1991,0.34,0.619,0.27899999999999997,9.12,30.0,20.880000000000003,0.2442,0.0002,-0.244,0.35,0.426,0.07600000000000001,11,11,0,150,2549,2399
Baldy,352109,352208.0,,ERC,Y,27.35,30.0,2.6499999999999986,0.0006,0.0002,-0.00039999999999999996,0.45,0.804,0.35400000000000004,11.99,30.0,18.009999999999998,0.1517,0.0002,-0.1515,0.24,0.796,0.556,6.66,30.0,23.34,0.4655,0.0002,-0.46530000000000005,0.4,0.327,-0.07300000000000001,11,11,0,150,2549,2399
Baldy,352109,352208.0,,ERC,Y,12.52,30.0,17.48,0.1295,0.0002,-0.1293,0.71,0.804,0.09400000000000008,10.49,30.0,19.509999999999998,0.232,0.0002,-0.2318,0.39,0.796,0.406,12.91,30.0,17.09,0.0742,0.0002,-0.074,0.23,0.327,0.097,11,11,0,150,2549,2399
Baldy,352109,352327.0,,ERC,Y,12.96,30.0,17.04,0.1134,0.0002,-0.1132,0.67,0.659,-0.01100000000000001,10.93,30.0,19.07,0.2057,0.0002,-0.2055,0.4,0.68,0.28,11.82,30.0,18.18,0.0662,0.0002,-0.06599999999999999,0.21,0.286,0.07599999999999998,11,11,0,150,2550,2400
Baldy,352109,352329.0,,ERC,Y,8.43,30.0,21.57,0.3928,0.0002,-0.3926,0.79,0.761,-0.029000000000000026,10.6,30.0,19.4,0.2255,0.0002,-0.2253,0.42,0.635,0.21500000000000002,10.97,30.0,19.03,0.1398,0.0002,-0.1396,0.19,0.787,0.597,11,11,0,150,2550,2400
Baldy,352109,352332.0,,ERC,Y,10.8,30.0,19.2,0.2131,0.0002,-0.2129,0.74,0.782,0.04200000000000004,12.4,30.0,17.6,0.1341,0.0002,-0.1339,0.29,0.566,0.27599999999999997,14.88,30.0,15.12,0.0212,0.0002,-0.021,0.2,0.308,0.10799999999999998,11,11,0,150,2550,2400
